Label,Message
0,ü come
0,forgot work today wan na chat thing ok drop text free bore etc ring hope well nose essay xx
0,problem
0,think chennai well settl
0,yup havent want go yoga call book
0,great escap fanci bridg need lager see tomo
0,fair enough anyth go
0,arngd marriag u r walkin unfortuntli snake bite bt love marriag danc frnt snake amp sayin bite bite
0,watch telugu movi wat abt u
0,jay say put lt gt
0,chinatown got porridg claypot rice yam cake fishhead beehoon either eat cheap den go cafe n tok go nydc somethin
0,one talk
0,miss much despar record messag left day listen hear sound voic love
1,think ur smart win week weekli quiz text play 85222 cs winnersclub po box 84 m26 3uz
0,dont shall buy one dear
1,know someon know fanci call 09058097218 find pobox 6 ls15hb 150p
0,tabl occupi wait tree
0,miss call caus yell scrappi miss ca wait u come home lone today
0,still havent collect dough pl let know go place sent get control number
0,jay get realli impati belliger
0,sorri flake last night shit serious goin roommat tonight
0,sorri din lock keypad
0,yay better told 5 girl either
0,meant apolog text get drug lt gt night
0,dont worri guess busi
0,watch ajith film ah
0,decid yet eh
0,yeah whatev lol
0,finish eat got u plate leftov time
0,idk sit stop shop park lot right bawl eye feel like failur everyth nobodi want feel like fail
0,yup hey one day fri ask miwa jiayin take leav go karaok
0,want snow freez windi
0,ju finish lunch way home lor tot u dun wan 2 stay sch today
0,heehe funni tho
0,hi babe thank come even though didnt go well want bed hope see soon love kiss xxx
0,buy
0,yo chad gymnast class wan na take site say christian class full
0,sing hu think also import find someon femal know place well prefer citizen also smart help navig even thing like choos phone plan requir guidanc doubt ask especi girl
0,anybodi number still thought tact way ask alex
0,danc river
0,aight head
0,train tomorrow
0,raviyog peripher bhayandar east
0,sorri chikku cell got problem tht nt abl repli u msg u
0,opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli
0,start search get job great potenti talent
0,normal use drink water daili
0,got lt gt way could pick
0,yeah would leav hour least 4 sound
0,ok least armand still around
0,hope arnt piss id would realli like see tomorrow love xxxxxxxxxxxxxx
0,merri christma u anni
0,also thk fast xy suggest one u dun wan go 2 rain leh got gd
0,mm ask come enough
0,talk that de wont
0,see requir pleas
0,haha thinkin
0,jokin oni lar ü busi wun disturb ü
0,aiyah sorri lor watch tv watch forgot 2 check phone
0,u fix teeth take care
0,know need get hotel got invit apologis cali sweet come english bloke weddin
1,urgent 4 costa del sol holiday await collect call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10min
0,design softwar develop may get chennai
0,k u bore come home
1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
0,hello lover goe new job happi think wake slave send teas kiss across sea
0,must come later normal bath da afternoon mah
0,abt make pic bigger
0,ok take
0,lor
0,ü neva tell noe home da aft wat
0,tmr timin still da wat co got lesson 6
0,ok
0,got home babe still awak
0,oh icic k lor den meet day
0,doc prescrib morphin caus pain med enough wait mom bring med kick fast gon na tri later
0,come home 4 dinner
0,good word word may leav u dismay mani time
0,cool let know kick around lt gt day
0,anytim
0,dear call
0,drop em omw back
0,still check da
0,give sec think think
0,featheri bowa someth guy know
0,need 8th campu atm could pick hour two
0,dear umma call
0,shall come get pickl
0,back bit long co accid a30 divert via brilliant weekend thank speak soon lot love
0,found way get anoth app phone eh go net cafe take job geeee need babe crave see
1,2nd time tri contact u prize 2 claim easi call 087104711148 10p per minut
0,ok din get ur msg
0,give fli monkey wot think certainli mind friend mine
0,nope forgot show next week
0,got xma radio time get
0,custom place call
0,dnt wnt tlk wid u
0,leav de start prepar next
0,sorri troubl u buy 4d dad 1405 1680 2 big 1 small sat n sun thanx
0,askd u question hour answer
0,let use next week princess
0,evri emot ds hav wish ds hav prayr u smile world wit even drop tear ds lik 2 stay wit b happi good morn keep smile
0,think mentor 100 percent sure
0,said anyth wrong sorri de
0,yoyyooo u know chang permiss drive mac usb flash drive
0,said u mind go bedroom minut ok sed sexi mood came 5 minut latr wid cake n wife
0,last much 2 hour might get lucki
0,swt thought nver get tire littl thing 4 lovabl person coz somtim littl thing occupi biggest part heart gud ni8
0,thought prap meant anoth one goodo look tomorrow
0,girl stay bed girl need recoveri time id rather pass fun coop bed
0,fp
0,yar lor keep rain non stop u wan 2 go elsewher
1,call germani 1 penc per minut call fix line via access number 0844 861 85 prepay direct access
0,hello love get interview today happi good boy think miss
1,5 free top polyphon tone call 087018728737 nation rate get toppoli tune sent everi week text subpoli 81618 per pole unsub 08718727870
0,v nice 2 sheffield tom 2 air opinion categori 2 b use 2 measur ethnic next censu busi transcrib
0,sorri call later meet thing relat trade pleas call arul lt gt
